region_bld,ssp,scenario,urt,arch,mat,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
C-WEU-ESP,SSP2,nsp,urb,sfh,perm,43.63787857,44.74308942,45.83340745,46.89625384,47.92026607,48.89578059,49.81516827,50.67304168,51.46611918,52.19316353,52.8546481,53.45244865,53.98952639,54.4696168,54.89687576,55.27572472,55.61063219,55.90593299
C-WEU-FIN,SSP2,nsp,rur,mfh,perm,41.043134,40.66912206,40.28836671,39.90884323,39.53774227,39.1812102,38.8441936,38.53031778,38.2419736,37.98038446,37.74579528,37.53763291,37.35470837,37.19542105,37.05787627,36.94005914,36.83991287,36.75544078
C-WEU-FIN,SSP2,nsp,rur,sfh,perm,68.61408792,67.98883136,67.35230149,66.717831,66.0974409,65.50140644,64.93799706,64.41327341,63.93123242,63.49391931,63.10174355,62.75374694,62.44794182,62.18165235,61.9517111,61.75474966,61.58732957,61.44611288
C-WEU-FIN,SSP2,nsp,urb,mfh,perm,37.35582295,37.01541221,36.66886388,36.32343675,35.98567547,35.66117421,35.35443514,35.0687579,34.80631853,34.56823053,34.35471682,34.16525573,33.99876511,33.85378815,33.72860038,33.62136793,33.53021879,33.45333566
C-WEU-FIN,SSP2,nsp,urb,sfh,perm,65.25661749,64.6619564,64.05657363,63.45314948,62.86311673,62.29624782,61.76040756,61.26136004,60.8029066,60.38699239,60.01400684,59.68303863,59.39219737,59.13893816,58.92024854,58.73292495,58.57369718,58.4393906
C-WEU-FRA,SSP2,nsp,rur,mfh,perm,30.54845705,31.01661111,31.47138861,31.90905591,32.32618751,32.71990487,33.08802258,33.42912528,33.74255211,34.02836011,34.28719609,34.52021225,34.72888355,34.91494973,35.08026018,35.22671306,35.35619348,35.47048714
C-WEU-FRA,SSP2,nsp,rur,sfh,perm,51.06955325,51.85219242,52.61246924,53.34414198,54.04148406,54.69968326,55.31508609,55.88532642,56.40929948,56.88710058,57.31981107,57.70935714,58.05820456,58.36926172,58.64562039,58.89045381,59.10691343,59.29798448
C-WEU-FRA,SSP2,nsp,urb,mfh,perm,27.80398673,28.23008188,28.64400221,29.04234952,29.42200606,29.7803519,30.11539795,30.42585602,30.71112461,30.97125565,31.20683783,31.41891984,31.60884414,31.77819414,31.92865312,32.06194869,32.17979661,32.28382213
C-WEU-FRA,SSP2,nsp,urb,sfh,perm,48.57058372,49.31492627,50.03800071,50.73387076,51.39709002,52.02308178,52.60837131,53.15070826,53.64904191,54.10346294,54.51499975,54.88548428,55.21726167,55.51309797,55.77593368,56.00878675,56.21465442,56.39637585
C-WEU-GBR,SSP2,nsp,rur,mfh,perm,31.34832803,31.77395493,32.17297342,32.54647732,32.89485811,33.21823096,33.51672178,33.79059217,34.04039525,34.26696197,34.47138957,34.65498299,34.81921654,34.96563978,35.09584846,35.21141137,35.3138255,35.4045402
