region_bld,clim,urt,arch,eneff,en_dem_heat_sim,en_dem_cool_sim,n_days_cool
C-EEU-ROU,Zone_5A Cool Humid,urb,comm,s3,150.4300679,8.715224553,23.87755102
C-EEU-ROU,Zone_5A Cool Humid,urb,comm,s51_std,111.321683,10.05021628,27.64285714
C-EEU-ROU,Zone_5A Cool Humid,urb,comm,s52_low,51.62741459,14.82731947,39.01020408
C-EEU-ROU,Zone_5A Cool Humid,urb,comm,sr11_std,250.7119855,7.762678629,19.51530612
C-EEU-ROU,Zone_5A Cool Humid,urb,comm,sr12_low,250.7119855,7.762678629,19.51530612
C-EEU-ROU,Zone_5A Cool Humid,urb,comm,sr21_std,239.6205137,7.317858678,19.16836735
C-EEU-ROU,Zone_5A Cool Humid,urb,comm,sr22_low,239.6205137,7.317858678,19.16836735
C-EEU-ROU,Zone_5A Cool Humid,urb,comm,sr31_std,150.4300679,8.715224553,23.87755102
C-EEU-ROU,Zone_5A Cool Humid,urb,comm,sr32_low,150.4300679,8.715224553,23.87755102
C-EEU-ROU,Zone_6A Cold Humid,rur,comm,s1,310.7820798,1.249646782,2.420454545
C-EEU-ROU,Zone_6A Cold Humid,rur,comm,s2,297.197619,1.205151615,2.284090909
C-EEU-ROU,Zone_6A Cold Humid,rur,comm,s3,186.3225767,1.734756215,3.965909091
C-EEU-ROU,Zone_6A Cold Humid,rur,comm,s51_std,137.6419196,2.146956877,5.545454545
C-EEU-ROU,Zone_6A Cold Humid,rur,comm,s52_low,64.69058893,4.292287962,12.17045455
C-EEU-ROU,Zone_6A Cold Humid,rur,comm,sr11_std,310.7820798,1.249646782,2.420454545
C-EEU-ROU,Zone_6A Cold Humid,rur,comm,sr12_low,310.7820798,1.249646782,2.420454545
C-EEU-ROU,Zone_6A Cold Humid,rur,comm,sr21_std,297.197619,1.205151615,2.284090909
C-EEU-ROU,Zone_6A Cold Humid,rur,comm,sr22_low,297.197619,1.205151615,2.284090909
C-EEU-ROU,Zone_6A Cold Humid,rur,comm,sr31_std,186.3225767,1.734756215,3.965909091
C-EEU-ROU,Zone_6A Cold Humid,rur,comm,sr32_low,186.3225767,1.734756215,3.965909091
C-EEU-ROU,Zone_6A Cold Humid,urb,comm,s1,307.1648071,1.243432209,2.420454545
C-EEU-ROU,Zone_6A Cold Humid,urb,comm,s2,293.7204387,1.191865511,2.284090909
C-EEU-ROU,Zone_6A Cold Humid,urb,comm,s3,184.284827,1.783861782,3.965909091
C-EEU-ROU,Zone_6A Cold Humid,urb,comm,s51_std,136.282102,2.301669791,5.545454545
C-EEU-ROU,Zone_6A Cold Humid,urb,comm,s52_low,64.32254247,5.008569995,12.17045455
C-EEU-ROU,Zone_6A Cold Humid,urb,comm,sr11_std,307.1648071,1.243432209,2.420454545
C-EEU-ROU,Zone_6A Cold Humid,urb,comm,sr12_low,307.1648071,1.243432209,2.420454545
C-EEU-ROU,Zone_6A Cold Humid,urb,comm,sr21_std,293.7204387,1.191865511,2.284090909
C-EEU-ROU,Zone_6A Cold Humid,urb,comm,sr22_low,293.7204387,1.191865511,2.284090909
C-EEU-ROU,Zone_6A Cold Humid,urb,comm,sr31_std,184.284827,1.783861782,3.965909091
C-EEU-ROU,Zone_6A Cold Humid,urb,comm,sr32_low,184.284827,1.783861782,3.965909091
C-EEU-SVK,Zone_5A Cool Humid,rur,comm,s1,247.6963642,7.423426429,16.3125
C-EEU-SVK,Zone_5A Cool Humid,rur,comm,s2,236.7095981,7.024636935,16.10416667
