country,sector,scenario,material,year,mat_stock_Mt,mat_demand_Mt,mat_scrap_Mt
LTU,Residential,N_r,steel,2080,1.9382947913282262,0.007477389493294768,0.015364511890294521
LTU,Residential,N_r,steel,2090,1.9024351580262218,0.006848805983092189,0.012667571881809878
LTU,Residential,N_r,steel,2100,1.8762943280912503,0.00623950733872206,0.010348327598446273
LTU,Residential,N_r,wood,2025,2.8335321349737566,0.011000181105994697,0.024130073237032135
LTU,Residential,N_r,wood,2030,2.7294576013169625,0.005957941329185695,0.02508256536018657
LTU,Residential,N_r,wood,2035,2.706332892944418,0.00631177512989934,0.026064882392506084
LTU,Residential,N_r,wood,2040,2.7067713305705863,0.00674667248077497,0.02683348874621809
LTU,Residential,N_r,wood,2045,2.682754967369624,0.00724967897795094,0.026876701187888017
LTU,Residential,N_r,wood,2050,2.585727342146971,0.0071722692838617,0.025822606926677785
LTU,Residential,N_r,wood,2055,2.5158381429883065,0.007953443192223134,0.024570182189968943
LTU,Residential,N_r,wood,2060,2.443084286233919,0.006950295761711892,0.02325150628441884
LTU,Residential,N_r,wood,2070,2.3165826949632,0.00764287417881863,0.02189147650726863
LTU,Residential,N_r,wood,2080,2.2195662714190054,0.007702404828109724,0.018268302013873323
LTU,Residential,N_r,wood,2090,2.1417079857540933,0.006943837464007142,0.014825555754582222
LTU,Residential,N_r,wood,2100,2.0803198346908696,0.006287325435948444,0.01194277438242951
LVA,Residential,N_r,aluminum,2025,0.03008602561371979,1.467899881481678e-4,2.719276129519303e-4
LVA,Residential,N_r,aluminum,2030,0.028641626622437303,7.987353127067582e-5,2.693978643270823e-4
LVA,Residential,N_r,aluminum,2035,0.02726779891413987,7.628484518177991e-5,2.598700971634169e-4
LVA,Residential,N_r,aluminum,2040,0.026035155846521732,7.941358294656932e-5,2.479226792195741e-4
LVA,Residential,N_r,aluminum,2045,0.02492980043650394,8.313789109057133e-5,2.3470004239505054e-4
LVA,Residential,N_r,aluminum,2050,0.023901303133572027,8.393588095968583e-5,2.2069311881249668e-4
LVA,Residential,N_r,aluminum,2055,0.02354359203395556,9.027493719520284e-5,2.1073978707679335e-4
LVA,Residential,N_r,aluminum,2060,0.023166422331976393,8.490970285877905e-5,2.0056635940529044e-4
LVA,Residential,N_r,aluminum,2070,0.022431888599048832,8.565437134374395e-5,1.9157323569767958e-4
LVA,Residential,N_r,aluminum,2080,0.02177245772730396,7.986202810635153e-5,1.6513378429734206e-4
LVA,Residential,N_r,aluminum,2090,0.021152814870292462,6.955134887578239e-5,1.396606610200054e-4
LVA,Residential,N_r,aluminum,2100,0.02050202540851412,5.366626550713893e-5,1.1759311607272355e-4
LVA,Residential,N_r,brick,2025,31.33865807357268,0.11916217564708814,0.2587418290244534
LVA,Residential,N_r,brick,2030,29.110765820625993,0.04166684262338139,0.25841989105446805
LVA,Residential,N_r,brick,2035,26.695263454780395,0.03914081996262618,0.24592109374513882
LVA,Residential,N_r,brick,2040,24.430959748315832,0.039933606390292226,0.22973742423686605
LVA,Residential,N_r,brick,2045,22.504690674920084,0.04109370221274546,0.21318772244524384
LVA,Residential,N_r,brick,2050,21.022518875796557,0.04118639464947849,0.1984849623926815
