Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050
MESSAGEix-Buildings,SSP1,R12_FSU,Final Energy|Residential|Liquids,EJ/yr,0.31617,0.22092,0.14318,0.09151,0.05813,0.03657
MESSAGEix-Buildings,SSP1,R12_FSU,Final Energy|Residential|Other,EJ/yr,0,0,0,0,0,0
MESSAGEix-Buildings,SSP1,R12_FSU,Final Energy|Residential|Solids|Biomass,EJ/yr,0.27378,0.21428,0.16336,0.12405,0.09388,0.07062
MESSAGEix-Buildings,SSP1,R12_FSU,Final Energy|Residential|Solids|Fossil,EJ/yr,0.19498,0.14562,0.10169,0.06738,0.04697,0.0317
MESSAGEix-Buildings,SSP1,R12_LAM,Final Energy|Residential|Cooling,EJ/yr,0.1989,0.31094,0.43762,0.55641,0.6175,0.67009
MESSAGEix-Buildings,SSP1,R12_LAM,Final Energy|Residential|Electricity,EJ/yr,0.48583,0.64811,0.81766,0.96995,1.0555,1.13039
MESSAGEix-Buildings,SSP1,R12_LAM,Final Energy|Residential|Gases,EJ/yr,0.22316,0.31551,0.41778,0.52107,0.62522,0.71501
MESSAGEix-Buildings,SSP1,R12_LAM,Final Energy|Residential|Heating|Space,EJ/yr,0.42324,0.47917,0.52302,0.54981,0.56502,0.56428
MESSAGEix-Buildings,SSP1,R12_LAM,Final Energy|Residential|Heating|Water,EJ/yr,0.70155,0.78656,0.87352,0.96098,1.04783,1.12799
MESSAGEix-Buildings,SSP1,R12_LAM,Final Energy|Residential|Liquids,EJ/yr,0.58243,0.58247,0.5703,0.55006,0.52593,0.49556
MESSAGEix-Buildings,SSP1,R12_LAM,Final Energy|Residential|Other,EJ/yr,0,0,0,0,0,0
MESSAGEix-Buildings,SSP1,R12_LAM,Final Energy|Residential|Solids|Biomass,EJ/yr,0.02671,0.02469,0.02247,0.02029,0.01804,0.01598
MESSAGEix-Buildings,SSP1,R12_LAM,Final Energy|Residential|Solids|Fossil,EJ/yr,0.00556,0.00589,0.00595,0.00584,0.00566,0.00542
MESSAGEix-Buildings,SSP1,R12_MEA,Final Energy|Residential|Cooling,EJ/yr,0.49315,0.66535,0.83683,1.05502,1.26602,1.45882
MESSAGEix-Buildings,SSP1,R12_MEA,Final Energy|Residential|Electricity,EJ/yr,0.83742,1.08398,1.32201,1.6012,1.85962,2.08648
MESSAGEix-Buildings,SSP1,R12_MEA,Final Energy|Residential|Gases,EJ/yr,0.53466,0.66228,0.77806,0.91028,1.03564,1.1503
MESSAGEix-Buildings,SSP1,R12_MEA,Final Energy|Residential|Heating|Space,EJ/yr,0.64955,0.72295,0.77112,0.80857,0.83097,0.83541
MESSAGEix-Buildings,SSP1,R12_MEA,Final Energy|Residential|Heating|Water,EJ/yr,0.80342,0.88959,0.97105,1.07045,1.16457,1.25166
MESSAGEix-Buildings,SSP1,R12_MEA,Final Energy|Residential|Liquids,EJ/yr,0.55848,0.51692,0.46599,0.41145,0.35677,0.30124
MESSAGEix-Buildings,SSP1,R12_MEA,Final Energy|Residential|Other,EJ/yr,0,0,0,0,0,0
MESSAGEix-Buildings,SSP1,R12_MEA,Final Energy|Residential|Solids|Biomass,EJ/yr,0.01439,0.01358,0.01189,0.01015,0.00866,0.00709
MESSAGEix-Buildings,SSP1,R12_MEA,Final Energy|Residential|Solids|Fossil,EJ/yr,0.00117,0.00113,0.00106,9.6e-4,8.8e-4,7.9e-4
MESSAGEix-Buildings,SSP1,R12_NAM,Final Energy|Residential|Cooling,EJ/yr,0.73955,0.69966,0.6546,0.61726,0.58504,0.55644
MESSAGEix-Buildings,SSP1,R12_NAM,Final Energy|Residential|Electricity,EJ/yr,2.15858,2.35278,2.49219,2.53459,2.5243700000000002,2.4832400000000003
MESSAGEix-Buildings,SSP1,R12_NAM,Final Energy|Residential|Gases,EJ/yr,4.98742,3.73879,2.68434,2.00357,1.54926,1.24391
MESSAGEix-Buildings,SSP1,R12_NAM,Final Energy|Residential|Heating|Space,EJ/yr,5.962,4.61208,3.47108,2.67188,2.10876,1.70487
MESSAGEix-Buildings,SSP1,R12_NAM,Final Energy|Residential|Heating|Water,EJ/yr,1.89577,1.84798,1.80052,1.76627,1.7401,1.71802
MESSAGEix-Buildings,SSP1,R12_NAM,Final Energy|Residential|Liquids,EJ/yr,1.21953,0.90104,0.63138,0.44362,0.31377,0.22231
MESSAGEix-Buildings,SSP1,R12_NAM,Final Energy|Residential|Other,EJ/yr,0,0,0,0,0,0
MESSAGEix-Buildings,SSP1,R12_NAM,Final Energy|Residential|Solids|Biomass,EJ/yr,0.23178,0.16711,0.11829,0.07362,0.0465,0.02988
MESSAGEix-Buildings,SSP1,R12_PAO,Final Energy|Residential|Cooling,EJ/yr,0.06323,0.0585,0.05403,0.05004,0.0465,0.04333
MESSAGEix-Buildings,SSP1,R12_PAO,Final Energy|Residential|Electricity,EJ/yr,0.21644999999999998,0.25008,0.28058,0.30251000000000006,0.31678,0.32638
MESSAGEix-Buildings,SSP1,R12_PAO,Final Energy|Residential|Gases,EJ/yr,0.38005,0.3344,0.28717,0.25091,0.22352,0.20116
MESSAGEix-Buildings,SSP1,R12_PAO,Final Energy|Residential|Heat,EJ/yr,0.08199,0.0826,0.08246,0.08178,0.08087,0.07975
MESSAGEix-Buildings,SSP1,R12_PAO,Final Energy|Residential|Heating|Space,EJ/yr,0.4074,0.34348,0.28345,0.23564,0.19862,0.16918
MESSAGEix-Buildings,SSP1,R12_PAO,Final Energy|Residential|Heating|Water,EJ/yr,0.71861,0.71497,0.70214,0.68537,0.66897,0.65169
MESSAGEix-Buildings,SSP1,R12_PAO,Final Energy|Residential|Liquids,EJ/yr,0.45636,0.39947,0.34335,0.29391,0.25453,0.22163
MESSAGEix-Buildings,SSP1,R12_PAO,Final Energy|Residential|Other,EJ/yr,0,0,0,0,0,0
MESSAGEix-Buildings,SSP1,R12_PAO,Final Energy|Residential|Solids|Biomass,EJ/yr,0.01236,0.01144,0.01047,0.00949,0.00855,0.00767
MESSAGEix-Buildings,SSP1,R12_PAO,Final Energy|Residential|Solids|Fossil,EJ/yr,0.04202,0.03897,0.03559,0.03245,0.02983,0.02761
MESSAGEix-Buildings,SSP1,R12_PAS,Final Energy|Residential|Cooling,EJ/yr,0.17289,0.24599,0.33954,0.43247,0.51576,0.58805
MESSAGEix-Buildings,SSP1,R12_PAS,Final Energy|Residential|Electricity,EJ/yr,0.24445,0.33116,0.43623,0.5424,0.63354,0.71315
MESSAGEix-Buildings,SSP1,R12_PAS,Final Energy|Residential|Heating|Space,EJ/yr,0.48616,0.43583,0.38537,0.31949,0.27965,0.24018
MESSAGEix-Buildings,SSP1,R12_PAS,Final Energy|Residential|Heating|Water,EJ/yr,0.21628,0.22262,0.22635,0.22287,0.22434,0.22239
MESSAGEix-Buildings,SSP1,R12_PAS,Final Energy|Residential|Other,EJ/yr,0,0,0,0,0,0
MESSAGEix-Buildings,SSP1,R12_PAS,Final Energy|Residential|Solids|Biomass,EJ/yr,0.63088,0.57328,0.51502,0.43243,0.38621,0.33747
MESSAGEix-Buildings,SSP1,R12_RCPA,Final Energy|Residential|Cooling,EJ/yr,0.02876,0.03889,0.05153,0.0656,0.08262,0.09586
MESSAGEix-Buildings,SSP1,R12_RCPA,Final Energy|Residential|Electricity,EJ/yr,0.07641,0.087,0.09741,0.10800000000000001,0.12093999999999999,0.13005
MESSAGEix-Buildings,SSP1,R12_RCPA,Final Energy|Residential|Gases,EJ/yr,0.00857,0.01205,0.01388,0.01472,0.01512,0.01568
MESSAGEix-Buildings,SSP1,R12_RCPA,Final Energy|Residential|Heat,EJ/yr,0.01322,0.01757,0.02161,0.02527,0.02839,0.03085
MESSAGEix-Buildings,SSP1,R12_RCPA,Final Energy|Residential|Heating|Space,EJ/yr,0.07284,0.07142,0.0663,0.06001,0.05385,0.04844
MESSAGEix-Buildings,SSP1,R12_RCPA,Final Energy|Residential|Heating|Water,EJ/yr,0.09265,0.09563,0.09435,0.09065,0.08643,0.08123
MESSAGEix-Buildings,SSP1,R12_RCPA,Final Energy|Residential|Other,EJ/yr,0,0,0,0,0,0
MESSAGEix-Buildings,SSP1,R12_RCPA,Final Energy|Residential|Solids|Biomass,EJ/yr,0.04449,0.04152,0.03699,0.0317,0.02727,0.02261
MESSAGEix-Buildings,SSP1,R12_RCPA,Final Energy|Residential|Solids|Fossil,EJ/yr,0.05156,0.04779,0.04228,0.03657,0.03119,0.02634
MESSAGEix-Buildings,SSP1,R12_SAS,Final Energy|Residential|Cooling,EJ/yr,0.30916,0.41174,0.57835,0.80362,1.10342,1.39365
MESSAGEix-Buildings,SSP1,R12_SAS,Final Energy|Residential|Electricity,EJ/yr,0.42313,0.56558,0.7730600000000001,1.03959,1.38361,1.71744
MESSAGEix-Buildings,SSP1,R12_SAS,Final Energy|Residential|Heating|Space,EJ/yr,0.46313,0.46565,0.44531,0.40417,0.35424,0.30263
MESSAGEix-Buildings,SSP1,R12_SAS,Final Energy|Residential|Heating|Water,EJ/yr,0.59613,0.60078,0.60324,0.6007,0.59504,0.59654
MESSAGEix-Buildings,SSP1,R12_SAS,Final Energy|Residential|Other,EJ/yr,0,0,0,0,0,0
MESSAGEix-Buildings,SSP1,R12_SAS,Final Energy|Residential|Solids|Biomass,EJ/yr,0.94529,0.91258,0.85384,0.76891,0.66908,0.57538
MESSAGEix-Buildings,SSP1,R12_WEU,Final Energy|Residential|Cooling,EJ/yr,0.03684,0.0404,0.0432,0.04512,0.04541,0.04532
MESSAGEix-Buildings,SSP1,R12_WEU,Final Energy|Residential|Electricity,EJ/yr,1.59019,1.7884,1.92593,1.98798,2.01388,1.9983900000000001
MESSAGEix-Buildings,SSP1,R12_WEU,Final Energy|Residential|Gases,EJ/yr,4.35874,3.32664,2.47069,1.88204,1.46308,1.19502
MESSAGEix-Buildings,SSP1,R12_WEU,Final Energy|Residential|Heat,EJ/yr,0.84741,0.8507,0.84902,0.84344,0.83544,0.82526
MESSAGEix-Buildings,SSP1,R12_WEU,Final Energy|Residential|Heating|Space,EJ/yr,7.04014,5.51999,4.26325,3.38803,2.74144,2.286
MESSAGEix-Buildings,SSP1,R12_WEU,Final Energy|Residential|Heating|Water,EJ/yr,2.64191,2.54804,2.46036,2.38704,2.32517,2.27147
MESSAGEix-Buildings,SSP1,R12_WEU,Final Energy|Residential|Liquids,EJ/yr,1.85093,1.37656,0.98614,0.70807,0.51315,0.37228
MESSAGEix-Buildings,SSP1,R12_WEU,Final Energy|Residential|Other,EJ/yr,0,0,0,0,0,0
MESSAGEix-Buildings,SSP1,R12_WEU,Final Energy|Residential|Solids|Biomass,EJ/yr,0.60491,0.40444,0.26413,0.18987,0.11732,0.07626
MESSAGEix-Buildings,SSP1,R12_WEU,Final Energy|Residential|Solids|Fossil,EJ/yr,0.46671,0.36169,0.2709,0.2088,0.16915,0.13558
MESSAGEix-Buildings,SSP1,R12_AFR,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,1.087,1.895,1.757,1.897,2.668,3.025
MESSAGEix-Buildings,SSP1,R12_AFR,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,0.357,0.444,0.541,0.644,0.739,0.83
MESSAGEix-Buildings,SSP1,R12_AFR,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,67.311,114.16,108.346,117.464,165.242,187.37
MESSAGEix-Buildings,SSP1,R12_AFR,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.509,0.894,0.823,0.887,1.248,1.416
MESSAGEix-Buildings,SSP1,R12_AFR,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.181,0.225,0.273,0.323,0.368,0.411
MESSAGEix-Buildings,SSP1,R12_AFR,Materials Demand|Iron and Steel|Residential,Mt/yr,15.806,26.562,25.404,27.583,38.802,43.998
MESSAGEix-Buildings,SSP1,R12_AFR,Total Scrap|Iron and Steel|Residential,Mt/yr,3.368,4.242,5.307,6.547,7.811,9.171
MESSAGEix-Buildings,SSP1,R12_CHN,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,4.928,3.071,2.698,2.337,1.977,1.588
MESSAGEix-Buildings,SSP1,R12_CHN,Total Scrap|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,2.094,1.94,1.962,1.986,1.983,1.933
MESSAGEix-Buildings,SSP1,R12_CHN,Materials Demand|Non-metallic minerals|Cement|Residential,Mt/yr,345.894,215.621,189.482,164.197,138.914,111.572
MESSAGEix-Buildings,SSP1,R12_CHN,Materials Demand|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.627,0.389,0.341,0.294,0.248,0.199
MESSAGEix-Buildings,SSP1,R12_CHN,Total Scrap|Non-Ferrous Metals|Copper|Residential,Mt/yr,0.402,0.341,0.317,0.297,0.28,0.262
MESSAGEix-Buildings,SSP1,R12_CHN,Materials Demand|Iron and Steel|Residential,Mt/yr,265.314,165.76,145.927,126.678,107.31,86.261
MESSAGEix-Buildings,SSP1,R12_CHN,Total Scrap|Iron and Steel|Residential,Mt/yr,85.612,85.669,92.201,98.01,101.173,100.822
MESSAGEix-Buildings,SSP1,R12_EEU,Materials Demand|Non-Ferrous Metals|Aluminium|Residential,Mt/yr,0.195,0.096,0.079,0.065,0.057,0.05
