Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_FSU,Final Energy|Residential|Cooling,EJ/yr,0.00448,0.00617,0.00827,0.01073,0.01292,0.01501,0.01687
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_FSU,Final Energy|Residential|Electricity,EJ/yr,0.26447,0.32785000000000003,0.39761,0.44902000000000003,0.48512,0.50559,0.51685
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_FSU,Final Energy|Residential|Gases,EJ/yr,1.546,1.41698,1.22183,1.0497,0.90298,0.77677,0.66686
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_FSU,Final Energy|Residential|Heat,EJ/yr,2.79973,2.95645,3.09585,3.22142,3.33739,3.44008,3.52755
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_FSU,Final Energy|Residential|Heating|Space,EJ/yr,4.13416,4.16309,4.10442,4.04242,3.98478,3.93671,3.88701
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_FSU,Final Energy|Residential|Heating|Water,EJ/yr,1.45252,1.42477,1.3915,1.36078,1.33396,1.30946,1.28455
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_FSU,Final Energy|Residential|Liquids,EJ/yr,0.3906,0.35215,0.29862,0.25162,0.21072,0.17575,0.14597
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_FSU,Final Energy|Residential|Other,EJ/yr,0,0,0,0,0,0,0
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_FSU,Final Energy|Residential|Solids|Biomass,EJ/yr,0.35814,0.32291,0.29608,0.27158,0.24971,0.23543,0.22148
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_FSU,Final Energy|Residential|Solids|Fossil,EJ/yr,0.23222,0.21769,0.1942,0.1706,0.14575,0.12757,0.10972
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_LAM,Final Energy|Residential|Cooling,EJ/yr,0.09927,0.16942,0.26121,0.36202,0.47013,0.52917,0.57688
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_LAM,Final Energy|Residential|Electricity,EJ/yr,0.31723,0.41605,0.53519,0.66197,0.7943,0.8739,0.9394799999999999
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_LAM,Final Energy|Residential|Gases,EJ/yr,0.16408,0.23227,0.30648,0.39169,0.48228,0.5779,0.67521
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_LAM,Final Energy|Residential|Heating|Space,EJ/yr,0.3241,0.37906,0.43387,0.48688,0.53618,0.58002,0.61601
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_LAM,Final Energy|Residential|Heating|Water,EJ/yr,0.61033,0.69989,0.79713,0.89998,1.01001,1.12366,1.23731
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_LAM,Final Energy|Residential|Liquids,EJ/yr,0.51944,0.56513,0.61394,0.65724,0.70064,0.74124,0.77534
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_LAM,Final Energy|Residential|Other,EJ/yr,0,0,0,0,0,0,0
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_LAM,Final Energy|Residential|Solids|Biomass,EJ/yr,0.02818,0.02978,0.03115,0.03227,0.03317,0.03377,0.03406
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_LAM,Final Energy|Residential|Solids|Fossil,EJ/yr,0.00477,0.00513,0.00545,0.00571,0.00593,0.00605,0.00611
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_MEA,Final Energy|Residential|Cooling,EJ/yr,0.3138,0.42083,0.55608,0.69586,0.83811,0.99603,1.15282
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_MEA,Final Energy|Residential|Electricity,EJ/yr,0.56393,0.69777,0.86042,1.0239500000000001,1.19024,1.37404,1.5537999999999998
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_MEA,Final Energy|Residential|Gases,EJ/yr,0.3803,0.49485,0.61995,0.7328,0.8543,0.97702,1.08331
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_MEA,Final Energy|Residential|Heating|Space,EJ/yr,0.47672,0.56832,0.66001,0.74604,0.82431,0.89434,0.94312
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_MEA,Final Energy|Residential|Heating|Water,EJ/yr,0.67421,0.76615,0.86637,0.97269,1.07927,1.19062,1.28943
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_MEA,Final Energy|Residential|Liquids,EJ/yr,0.50617,0.54759,0.58649,0.64195,0.6812,0.71394,0.73252
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_MEA,Final Energy|Residential|Other,EJ/yr,0,0,0,0,0,0,0
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_MEA,Final Energy|Residential|Solids|Biomass,EJ/yr,0.01334,0.01404,0.01452,0.01479,0.01485,0.0149,0.01466
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_MEA,Final Energy|Residential|Solids|Fossil,EJ/yr,0.001,0.00104,0.00107,0.00109,0.0011,0.0011,0.00109
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_NAM,Final Energy|Residential|Cooling,EJ/yr,0.80473,0.80349,0.80476,0.79814,0.79081,0.78412,0.77866
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_NAM,Final Energy|Residential|Electricity,EJ/yr,2.13105,2.3287,2.53133,2.68731,2.7907200000000003,2.8605300000000002,2.9063499999999998
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_NAM,Final Energy|Residential|Gases,EJ/yr,5.86284,5.29006,4.5433,3.89949,3.38956,2.97086,2.62827
MESSAGEix-Buildings,"NAV_Dem-NPi-ref",R12_NAM,Final Energy|Residential|Heating|Space,EJ/yr,7.08157,6.47729,5.67361,4.96558,4.35348,3.82764,3.37804
