country,clim,urt,value
DEU,Zone_4A Mixed Humid,urb,0.247805195961634
DEU,Zone_4A Mixed Humid,rur,0.0308786268544729
DEU,Zone_5A Cool Humid,urb,0.752194804038366
DEU,Zone_5A Cool Humid,rur,0.969121373145527
DJI,Zone_0B Extremely hot Dry,urb,1
DJI,Zone_0B Extremely hot Dry,rur,1
DMA,Zone_1A Very hot Humid,urb,1
DMA,Zone_1A Very hot Humid,rur,1
DNK,Zone_5A Cool Humid,urb,1
DNK,Zone_5A Cool Humid,rur,1
DOM,Zone_1A Very hot Humid,urb,0.727321578241256
DOM,Zone_1A Very hot Humid,rur,0.663655408655724
DOM,Zone_2A Hot Humid,urb,0.272678421758744
DOM,Zone_2A Hot Humid,rur,0.336344591344276
DZA,Zone_2B Hot Dry,urb,0.00368995223570881
DZA,Zone_2B Hot Dry,rur,0.27698642187526
DZA,Zone_3A Warm Humid,urb,0.779167925437326
DZA,Zone_3A Warm Humid,rur,0.188815866743699
DZA,Zone_3B Warm Dry,urb,0.217142122326966
DZA,Zone_3B Warm Dry,rur,0.534197711381041
ECU,Zone_1A Very hot Humid,urb,0.370383472755702
ECU,Zone_1A Very hot Humid,rur,0.66089099012016
ECU,Zone_3C Warm Marine,urb,0.30917029805124
ECU,Zone_3C Warm Marine,rur,0.136772078290915
ECU,Zone_4C Mixed Marine,urb,0.320446229193058
ECU,Zone_4C Mixed Marine,rur,0.202336931588926
EGY,Zone_1B Very hot Dry,urb,0.0620241901589399
EGY,Zone_1B Very hot Dry,rur,0.00687595047563455
EGY,Zone_2B Hot Dry,urb,0.93797580984106
EGY,Zone_2B Hot Dry,rur,0.993124049524365
ERI,Zone_0B Extremely hot Dry,urb,1
ERI,Zone_0B Extremely hot Dry,rur,1
ESH,Zone_2B Hot Dry,urb,1
ESH,Zone_2B Hot Dry,rur,1
ESP,Zone_3A Warm Humid,urb,0.438624560979919
ESP,Zone_3A Warm Humid,rur,0.502645899614982
ESP,Zone_3B Warm Dry,urb,0.242221894732129
ESP,Zone_3B Warm Dry,rur,0.129637842237071
ESP,Zone_3C Warm Marine,urb,0.0558795546470806
ESP,Zone_3C Warm Marine,rur,0.0462626414810072
ESP,Zone_4A Mixed Humid,urb,0.188974438062717
ESP,Zone_4A Mixed Humid,rur,0.17122763383552
ESP,Zone_4C Mixed Marine,urb,0.0742995515781543
ESP,Zone_4C Mixed Marine,rur,0.15022598283142
EST,Zone_6A Cold Humid,urb,1
EST,Zone_6A Cold Humid,rur,1
ETH,Zone_0B Extremely hot Dry,urb,3.01734420343095e-4
ETH,Zone_0B Extremely hot Dry,rur,0.0575591414000792
ETH,Zone_1A Very hot Humid,urb,1.33635630021833e-4
ETH,Zone_1A Very hot Humid,rur,0.0346818744516685
ETH,Zone_2A Hot Humid,urb,0.183336015013141
ETH,Zone_2A Hot Humid,rur,0.277127018228709
ETH,Zone_2B Hot Dry,urb,0.0110544585550324
ETH,Zone_2B Hot Dry,rur,0.0343152671452093
ETH,Zone_3A Warm Humid,urb,0.0413516480552271
ETH,Zone_3A Warm Humid,rur,0.0317164474476402
ETH,Zone_3C Warm Marine,urb,0.763822508326234
ETH,Zone_3C Warm Marine,rur,0.564600251326694
FIN,Zone_6A Cold Humid,urb,0.636939823915893
FIN,Zone_6A Cold Humid,rur,0.176179312546279
FIN,Zone_7A Very cold Humid,urb,0.363060176084107
FIN,Zone_7A Very cold Humid,rur,0.823820687453721
FJI,Zone_2A Hot Humid,urb,1
FJI,Zone_2A Hot Humid,rur,1
FRA,Zone_3A Warm Humid,urb,0.145668628565058
FRA,Zone_3A Warm Humid,rur,0.102099304606159
FRA,Zone_4A Mixed Humid,urb,0.760844359063877
FRA,Zone_4A Mixed Humid,rur,0.75875555626543
FRA,Zone_5A Cool Humid,urb,0.0934870123710651
FRA,Zone_5A Cool Humid,rur,0.139145139128412
GAB,Zone_1A Very hot Humid,urb,1
GAB,Zone_1A Very hot Humid,rur,1
GBR,Zone_4A Mixed Humid,urb,0.429166781028547
GBR,Zone_4A Mixed Humid,rur,0.483145303933445
GBR,Zone_5A Cool Humid,urb,0.570833218971453
GBR,Zone_5A Cool Humid,rur,0.516854696066555
GEO,Zone_5A Cool Humid,urb,1
GEO,Zone_5A Cool Humid,rur,1
GHA,Zone_0A Extremely hot Humid,urb,1
GHA,Zone_0A Extremely hot Humid,rur,1
GIN,Zone_0A Extremely hot Humid,urb,0.105259162811851
GIN,Zone_0A Extremely hot Humid,rur,0.33848457941914
GIN,Zone_1A Very hot Humid,urb,0.894740837188149
GIN,Zone_1A Very hot Humid,rur,0.66151542058086
GMB,Zone_0B Extremely hot Dry,urb,1
GMB,Zone_0B Extremely hot Dry,rur,1
GNB,Zone_0A Extremely hot Humid,urb,1
GNB,Zone_0A Extremely hot Humid,rur,1
GNQ,Zone_1A Very hot Humid,urb,1
GNQ,Zone_1A Very hot Humid,rur,1
GRC,Zone_3A Warm Humid,urb,0.88130396182595
GRC,Zone_3A Warm Humid,rur,0.65401841340507
GRC,Zone_4A Mixed Humid,urb,0.11869603817405
GRC,Zone_4A Mixed Humid,rur,0.34598158659493
GRD,Zone_0A Extremely hot Humid,urb,1
GRD,Zone_0A Extremely hot Humid,rur,1
GTM,Zone_2A Hot Humid,urb,0.367942163694106
GTM,Zone_2A Hot Humid,rur,0.517000220280321
GTM,Zone_3C Warm Marine,urb,0.632057836305894
GTM,Zone_3C Warm Marine,rur,0.482999779719679
GUF,Zone_1A Very hot Humid,urb,1
GUF,Zone_1A Very hot Humid,rur,1
GUY,Zone_0A Extremely hot Humid,urb,1
GUY,Zone_0A Extremely hot Humid,rur,1
HND,Zone_1A Very hot Humid,urb,0.382578955194857
HND,Zone_1A Very hot Humid,rur,0.269312268534337
HND,Zone_2A Hot Humid,urb,0.617421044805143
HND,Zone_2A Hot Humid,rur,0.730687731465663
HRV,Zone_4A Mixed Humid,urb,1
HRV,Zone_4A Mixed Humid,rur,1
HTI,Zone_1A Very hot Humid,urb,1
HTI,Zone_1A Very hot Humid,rur,1
HUN,Zone_4A Mixed Humid,urb,0.476299894296351
HUN,Zone_4A Mixed Humid,rur,0.515033163976912
HUN,Zone_5A Cool Humid,urb,0.523700105703649
HUN,Zone_5A Cool Humid,rur,0.484966836023088
IDN,Zone_0A Extremely hot Humid,urb,0.681858295076556
IDN,Zone_0A Extremely hot Humid,rur,0.568250603312405
IDN,Zone_1A Very hot Humid,urb,0.318141704923444
IDN,Zone_1A Very hot Humid,rur,0.409322894483399
IDN,Zone_2A Hot Humid,urb,0
IDN,Zone_2A Hot Humid,rur,0.022426502204196
IND,Zone_0A Extremely hot Humid,urb,0.399691658583683
IND,Zone_0A Extremely hot Humid,rur,0.245963708945281
IND,Zone_0B Extremely hot Dry,urb,0.0513031970040407
IND,Zone_0B Extremely hot Dry,rur,0.104799118520762
IND,Zone_1A Very hot Humid,urb,0.343491450413997
