region_bld,urt,clim,value
R32PAK,urb,Zone_4A Mixed Humid,0.01067522198932477
R32PAK,urb,Zone_5A Cool Humid,0.06856048393143951
R32PAK,urb,Zone_6A Cold Humid,0.00193861299806138
R32PAK,urb,Zone_7A Very cold Humid,0
R32RUS,rur,Zone_4A Mixed Humid,0.045672089
R32RUS,rur,Zone_5A Cool Humid,0.10019082299999998
R32RUS,rur,Zone_6A Cold Humid,0.33303044
R32RUS,rur,Zone_7A Very cold Humid,0.4382516
R32RUS,rur,Zone_8A Subarctic/arctic Humid,0.082855048
R32RUS,urb,Zone_4A Mixed Humid,0.030439275
R32RUS,urb,Zone_5A Cool Humid,0.09001769300000002
R32RUS,urb,Zone_6A Cold Humid,0.45931689699999995
R32RUS,urb,Zone_7A Very cold Humid,0.38147378300000007
R32RUS,urb,Zone_8A Subarctic/arctic Humid,0.038752352
R32SAF,rur,Zone_2A Hot Humid,0.148558958
R32SAF,rur,Zone_2B Hot Dry,0.166259188
R32SAF,rur,Zone_3A Warm Humid,0.242315737
R32SAF,rur,Zone_3B Warm Dry,0.166518755
R32SAF,rur,Zone_3C Warm Marine,0.276347362
R32SAF,urb,Zone_2A Hot Humid,0.153448045
R32SAF,urb,Zone_2B Hot Dry,0.07374796
R32SAF,urb,Zone_3A Warm Humid,0.263433461
R32SAF,urb,Zone_3B Warm Dry,0.126337713
R32SAF,urb,Zone_3C Warm Marine,0.383032821
R32SSA-L,rur,Zone_0A Extremely hot Humid,0.18570897799999997
R32SSA-L,rur,Zone_0B Extremely hot Dry,0.15238979699999997
R32SSA-L,rur,Zone_1A Very hot Humid,0.22596208
R32SSA-L,rur,Zone_1B Very hot Dry,0.003169966
R32SSA-L,rur,Zone_2A Hot Humid,0.273784213
R32SSA-L,rur,Zone_2B Hot Dry,0.019949714
R32SSA-L,rur,Zone_3A Warm Humid,0.01984024
R32SSA-L,rur,Zone_3C Warm Marine,0.119195012
R32SSA-L,urb,Zone_0A Extremely hot Humid,0.384940205
R32SSA-L,urb,Zone_0B Extremely hot Dry,0.107721743
R32SSA-L,urb,Zone_1A Very hot Humid,0.212971389
R32SSA-L,urb,Zone_1B Very hot Dry,0.012483519
R32SSA-L,urb,Zone_2A Hot Humid,0.159773996
R32SSA-L,urb,Zone_2B Hot Dry,0.017347424
R32SSA-L,urb,Zone_3A Warm Humid,0.006532111
R32SSA-L,urb,Zone_3C Warm Marine,0.098229613
R32SSA-M,rur,Zone_1A Very hot Humid,0.199645074
R32SSA-M,rur,Zone_1B Very hot Dry,0.017572157
R32SSA-M,rur,Zone_2A Hot Humid,0.513702588
R32SSA-M,rur,Zone_2B Hot Dry,0.186087569
R32SSA-M,rur,Zone_3C Warm Marine,0.082992612
R32SSA-M,urb,Zone_1A Very hot Humid,0.20468707420468707
R32SSA-M,urb,Zone_1B Very hot Dry,0.20787916120787917
R32SSA-M,urb,Zone_2A Hot Humid,0.2457383602457383
R32SSA-M,urb,Zone_2B Hot Dry,0.129060992129061
R32SSA-M,urb,Zone_3C Warm Marine,0.2126344122126344
R32TUR,rur,Zone_3A Warm Humid,0.068817735
R32TUR,rur,Zone_4A Mixed Humid,0.236797105
R32TUR,rur,Zone_4C Mixed Marine,0.180304578
R32TUR,rur,Zone_5A Cool Humid,0.251074622
R32TUR,rur,Zone_5C Cool Marine,0.150323537
R32TUR,rur,Zone_6A Cold Humid,0.112682423
R32TUR,urb,Zone_3A Warm Humid,0.445570886
R32TUR,urb,Zone_4A Mixed Humid,0.341948598
R32TUR,urb,Zone_4C Mixed Marine,0.05952892700000001
R32TUR,urb,Zone_5A Cool Humid,0.068837852
R32TUR,urb,Zone_5C Cool Marine,0.074911676
R32TUR,urb,Zone_6A Cold Humid,0.009202061
R32USA,rur,Zone_1A Very hot Humid,0.00267894400535788
R32USA,rur,Zone_2A Hot Humid,0.09208858518417716
R32USA,rur,Zone_2B Hot Dry,0.00680598701361197
R32USA,rur,Zone_3A Warm Humid,0.23976318947952635
R32USA,rur,Zone_3B Warm Dry,0.01718351903436703
R32USA,rur,Zone_3C Warm Marine,0.00802327901604655
R32USA,rur,Zone_4A Mixed Humid,0.22668073245336143
R32USA,rur,Zone_4C Mixed Marine,0.01953320903906642
