region_bld,year,pop
R32IDN,2090,376.58593284714
R32IDN,2095,381.4339968469267
R32IDN,2100,386.3967038467435
R32IND,2020,1389.9667571811638
R32IND,2025,1451.6506379711243
R32IND,2030,1520.3783397745785
R32IND,2035,1585.488527827536
R32IND,2040,1645.7143948444473
R32IND,2045,1696.3886036128501
R32IND,2050,1739.2496126290055
R32IND,2055,1780.088553459621
R32IND,2060,1820.5723246065588
R32IND,2065,1858.314021506382
R32IND,2070,1892.8849601296843
R32IND,2075,1923.2839252735648
R32IND,2080,1951.424541574323
R32IND,2085,1980.3651970058067
R32IND,2090,2012.2732603471068
R32IND,2095,2047.1907438459614
R32IND,2100,2084.8781567395094
R32JPN,2020,125.5427680109109
R32JPN,2025,122.53913101075156
R32JPN,2030,119.67296801061617
R32JPN,2035,116.79835101049198
R32JPN,2040,113.9898150103879
R32JPN,2045,111.15364101029837
R32JPN,2050,108.44847301024187
R32JPN,2055,105.96064001022943
R32JPN,2060,103.6225110102607
R32JPN,2065,101.27453701032898
R32JPN,2070,98.89361401043821
R32JPN,2075,96.59193601061062
R32JPN,2080,94.59236101088948
R32JPN,2085,92.970527011308
R32JPN,2090,91.659712011899245
R32JPN,2095,90.56163001270308
R32JPN,2100,89.58709401378923
R32KOR,2020,51.85812500000001
R32KOR,2025,51.591218000000005
R32KOR,2030,51.24043900000001
R32KOR,2035,50.75587
R32KOR,2040,50.02409299999999
R32KOR,2045,49.0110609999999
R32KOR,2050,47.869711
R32KOR,2055,46.315283
R32KOR,2060,44.468053999999995
R32KOR,2065,42.613725
R32KOR,2070,40.91697700000001
R32KOR,2075,39.381951999999906
R32KOR,2080,37.985716000000004
R32KOR,2085,36.72693
R32KOR,2090,35.529511
R32KOR,2095,34.379107000000005
R32KOR,2100,33.390936
R32LAM-L,2020,45.609591
R32LAM-L,2025,49.426566
R32LAM-L,2030,53.521574000000015
R32LAM-L,2035,57.616535000000006
R32LAM-L,2040,61.625002
R32LAM-L,2045,65.33005100000001
R32LAM-L,2050,68.79199400000002
R32LAM-L,2055,72.043047
R32LAM-L,2060,75.175943
R32LAM-L,2065,78.196704
