region_gea,fuel,year,value
AFR,electricity,2035,40.73094105
AFR,electricity,2040,28.10115168
AFR,electricity,2045,30.60819157
AFR,electricity,2050,28.23332401
AFR,electricity,2055,27.86966
AFR,electricity,2060,33.46565556
AFR,electricity,2070,22.61490385
AFR,electricity,2080,23.39760965
AFR,electricity,2090,22.32082976
AFR,electricity,2100,24.40267918
AFR,gas,2015,3.238066869
AFR,gas,2020,6.032748731
AFR,gas,2025,24.30469665
AFR,gas,2030,25.09002929
AFR,gas,2035,23.81316684
AFR,gas,2040,25.68642869
AFR,gas,2045,32.05339634
AFR,gas,2050,36.58251452
AFR,gas,2055,47.14336173
AFR,gas,2060,48.83311204
AFR,gas,2070,21.8277718
AFR,gas,2080,20.08353752
AFR,gas,2090,23.62805988
AFR,gas,2100,26.20412785
AFR,oil,2015,0
AFR,oil,2020,3.845059305
AFR,oil,2025,17.74625449
AFR,oil,2030,20.74953535
AFR,oil,2035,27.49994884
AFR,oil,2040,34.67047184
AFR,oil,2045,35.50672927
AFR,oil,2050,44.82854083
AFR,oil,2055,54.66407369
AFR,oil,2060,56.37755842
AFR,oil,2070,22.40658021
AFR,oil,2080,21.70082449
AFR,oil,2090,24.0545459
AFR,oil,2100,27.2649691
AFR,biomass_solid,2015,0.087816089
AFR,biomass_solid,2020,6.223068938
AFR,biomass_solid,2025,9.741733801
AFR,biomass_solid,2030,5.307962937
AFR,biomass_solid,2035,9.602883711
AFR,biomass_solid,2040,12.83044608
AFR,biomass_solid,2045,17.64276905
AFR,biomass_solid,2050,21.86805808
AFR,biomass_solid,2055,30.3432338
AFR,biomass_solid,2060,28.65552229
AFR,biomass_solid,2070,15.42461309
AFR,biomass_solid,2080,15.90163615
AFR,biomass_solid,2090,14.12772011
AFR,biomass_solid,2100,20.42053634
AFR,coal,2015,0.702528708
AFR,coal,2020,2.572362692
AFR,coal,2025,23.52281985
AFR,coal,2030,24.74469643
AFR,coal,2035,32.19828697
AFR,coal,2040,34.70171718
AFR,coal,2045,38.86141785
AFR,coal,2050,57.74463323
AFR,coal,2055,76.03965297
AFR,coal,2060,48.83311204
AFR,coal,2070,21.8277718
AFR,coal,2080,20.08353752
AFR,coal,2090,23.62805988
AFR,coal,2100,26.20412785
WEU,electricity,2015,12.0092042
WEU,electricity,2020,21.55357693
WEU,electricity,2025,28.01795599
WEU,electricity,2030,33.99494509
WEU,electricity,2035,36.01022342
WEU,electricity,2040,35.50877469
WEU,electricity,2045,34.39789231
WEU,electricity,2050,35.24617128
WEU,electricity,2055,31.38073012
WEU,electricity,2060,39.41050464
WEU,electricity,2070,28.67261353
WEU,electricity,2080,27.16960621
WEU,electricity,2090,28.12242955
WEU,electricity,2100,31.56968623
WEU,gas,2015,3.507217402
WEU,gas,2020,7.871477114
WEU,gas,2025,16.6486496
WEU,gas,2030,18.06824992
WEU,gas,2035,21.70412777
WEU,gas,2040,25.10431946
WEU,gas,2045,31.38877355
WEU,gas,2050,36.15016822
WEU,gas,2055,38.3697048
WEU,gas,2060,42.76559008
WEU,gas,2070,21.86045033
WEU,gas,2080,19.44786625
WEU,gas,2090,22.10200848
WEU,gas,2100,23.49940561
WEU,oil,2015,0.026664294
WEU,oil,2020,7.58222635
WEU,oil,2025,19.34857527
WEU,oil,2030,20.74953535
WEU,oil,2035,27.11956088
WEU,oil,2040,34.48238595
WEU,oil,2045,35.65578178
WEU,oil,2050,36.78324466
WEU,oil,2055,38.03877198
WEU,oil,2060,44.73160899
WEU,oil,2070,22.40658021
WEU,oil,2080,21.14203689
WEU,oil,2090,24.04360379
WEU,oil,2100,27.2649691
WEU,biomass_solid,2015,0.702528708
WEU,biomass_solid,2020,4.451442595
WEU,biomass_solid,2025,7.136967309
WEU,biomass_solid,2030,8.212036531
WEU,biomass_solid,2035,11.33143644
WEU,biomass_solid,2040,10.97128445
WEU,biomass_solid,2045,21.30492454
WEU,biomass_solid,2050,16.82559486
WEU,biomass_solid,2055,27.11118491
WEU,biomass_solid,2060,58.99584045
WEU,biomass_solid,2070,16.06541139
WEU,biomass_solid,2080,13.44609418
WEU,biomass_solid,2090,15.70504622
WEU,biomass_solid,2100,18.39156266
WEU,coal,2015,3.456646947
WEU,coal,2020,4.807056867
WEU,coal,2025,9.301406374
WEU,coal,2030,9.955019837
WEU,coal,2035,20.08347075
WEU,coal,2040,33.70538561
WEU,coal,2045,37.63768098
WEU,coal,2050,36.15016822
WEU,coal,2055,63.39712304
WEU,coal,2060,48.6682617
WEU,coal,2070,20.7501752
WEU,coal,2080,19.44786625
WEU,coal,2090,22.10200848
WEU,coal,2100,23.49940561
