region_bld,region_gea,urt,clim,mat,arch,inc_cl,year,yr_con,bld_age,value
C-EEU-HRV,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,2005,p3,487115.21066526667
C-EEU-HRV,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,2010,p3,661717.380185093
C-EEU-HRV,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,2015,p3,934812.0346924553
C-EEU-HRV,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,2020,p3,934812.0346924553
C-EEU-HUN,EEU,rur,Zone_4A Mixed Humid,perm,comm,ns,2020,1945,p1,13820630.021520423
C-EEU-HUN,EEU,rur,Zone_4A Mixed Humid,perm,comm,ns,2020,1960,p2,871008.4830418482
C-EEU-HUN,EEU,rur,Zone_4A Mixed Humid,perm,comm,ns,2020,1995,p3,654162.6642035479
C-EEU-HUN,EEU,rur,Zone_4A Mixed Humid,perm,comm,ns,2020,2000,p3,519670.97895495576
C-EEU-HUN,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1945,p1,13013816.74337591
C-EEU-HUN,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1960,p2,820161.2200540437
C-EEU-HUN,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,1995,p3,615974.3093262365
C-EEU-HUN,EEU,rur,Zone_5A Cool Humid,perm,comm,ns,2020,2000,p3,489333.90712613816
C-EEU-HUN,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,1945,p1,18042605.390645083
C-EEU-HUN,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,1960,p2,4842523.1399114765
C-EEU-HUN,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,1965,p2,4655027.03413719
C-EEU-HUN,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,1970,p2,1979318.788904336
C-EEU-HUN,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,1975,p2,2195715.432511081
C-EEU-HUN,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,1980,p2,2121880.430359474
C-EEU-HUN,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,1985,p2,414684.6857156928
C-EEU-HUN,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,1990,p2,315240.89806780725
C-EEU-HUN,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,1995,p3,16335.548404663754
C-EEU-HUN,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,2005,p3,1135294.3430681955
C-EEU-HUN,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,2010,p3,1292765.9437389816
C-EEU-HUN,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,2015,p3,1149144.3891297253
C-EEU-HUN,EEU,urb,Zone_4A Mixed Humid,perm,comm,ns,2020,2020,p3,1149144.3891297253
C-EEU-HUN,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1945,p1,19838161.78550569
C-EEU-HUN,EEU,urb,Zone_5A Cool Humid,perm,comm,ns,2020,1960,p2,5324439.315714531
