region_bld,year,urt,value
C-WEU-CYP,2045,rur,0.24080000000000004
C-WEU-CYP,2045,urb,0.7592
C-WEU-CYP,2050,rur,0.22581000000000004
C-WEU-CYP,2050,urb,0.7741899999999999
C-WEU-CYP,2055,rur,0.21177999999999997
C-WEU-CYP,2055,urb,0.7882199999999999
C-WEU-CYP,2060,rur,0.19865999999999995
C-WEU-CYP,2060,urb,0.80134
C-WEU-CYP,2065,rur,0.1863800000000001
C-WEU-CYP,2065,urb,0.8136199999999999
C-WEU-CYP,2070,rur,0.17489999999999992
C-WEU-CYP,2070,urb,0.8251000000000001
C-WEU-CYP,2075,rur,0.16415999999999997
C-WEU-CYP,2075,urb,0.8358399999999999
C-WEU-CYP,2080,rur,0.15412000000000003
C-WEU-CYP,2080,urb,0.8458799999999999
C-WEU-CYP,2085,rur,0.14473
C-WEU-CYP,2085,urb,0.8552699999999999
C-WEU-CYP,2090,rur,0.13595000000000002
C-WEU-CYP,2090,urb,0.86405
C-WEU-CYP,2095,rur,0.12773
C-WEU-CYP,2095,urb,0.87227
C-WEU-CYP,2100,rur,0.12004000000000005
C-WEU-CYP,2100,urb,0.87996
C-WEU-DEU,2020,rur,0.22499999999999998
C-WEU-DEU,2020,urb,0.775
C-WEU-DEU,2025,rur,0.20903000000000005
C-WEU-DEU,2025,urb,0.79097
C-WEU-DEU,2030,rur,0.19433999999999996
C-WEU-DEU,2030,urb,0.80566
C-WEU-DEU,2035,rur,0.18081000000000003
C-WEU-DEU,2035,urb,0.81919
C-WEU-DEU,2040,rur,0.16834000000000005
C-WEU-DEU,2040,urb,0.8316600000000001
C-WEU-DEU,2045,rur,0.15685000000000004
C-WEU-DEU,2045,urb,0.84315
C-WEU-DEU,2050,rur,0.14623999999999993
C-WEU-DEU,2050,urb,0.8537600000000001
C-WEU-DEU,2055,rur,0.13644999999999996
C-WEU-DEU,2055,urb,0.86355
C-WEU-DEU,2060,rur,0.12739999999999996
C-WEU-DEU,2060,urb,0.8726
C-WEU-DEU,2065,rur,0.11903000000000008
C-WEU-DEU,2065,urb,0.8809699999999999
C-WEU-DEU,2070,rur,0.11128000000000003
C-WEU-DEU,2070,urb,0.8887199999999998
C-WEU-DEU,2075,rur,0.10409000000000002
C-WEU-DEU,2075,urb,0.89591
C-WEU-DEU,2080,rur,0.09742000000000006
C-WEU-DEU,2080,urb,0.90258
