region_gea,mat,arch,bld_age,year,parameter,value
FSU,perm,comm,p2,2020,scale,53.6
FSU,perm,comm,p2,2020,shape,2.5
FSU,perm,comm,p2,2025,scale,53.6
FSU,perm,comm,p2,2025,shape,2.5
FSU,perm,comm,p2,2030,scale,58.96000000000001
FSU,perm,comm,p2,2030,shape,2.5
FSU,perm,comm,p2,2035,scale,64.32
FSU,perm,comm,p2,2035,shape,2.5
FSU,perm,comm,p2,2040,scale,69.68
FSU,perm,comm,p2,2040,shape,2.5
FSU,perm,comm,p2,2045,scale,75.03999999999999
FSU,perm,comm,p2,2045,shape,2.5
FSU,perm,comm,p2,2050,scale,80.4
FSU,perm,comm,p2,2050,shape,2.5
FSU,perm,comm,p2,2055,scale,80.4
FSU,perm,comm,p2,2055,shape,2.5
FSU,perm,comm,p2,2060,scale,80.4
FSU,perm,comm,p2,2060,shape,2.5
FSU,perm,comm,p2,2065,scale,80.4
FSU,perm,comm,p2,2065,shape,2.5
FSU,perm,comm,p2,2070,scale,80.4
FSU,perm,comm,p2,2070,shape,2.5
FSU,perm,comm,p2,2075,scale,80.4
FSU,perm,comm,p2,2075,shape,2.5
FSU,perm,comm,p2,2080,scale,80.4
FSU,perm,comm,p2,2080,shape,2.5
FSU,perm,comm,p2,2085,scale,80.4
FSU,perm,comm,p2,2085,shape,2.5
FSU,perm,comm,p2,2090,scale,80.4
FSU,perm,comm,p2,2090,shape,2.5
FSU,perm,comm,p2,2095,scale,80.4
FSU,perm,comm,p2,2095,shape,2.5
FSU,perm,comm,p2,2100,scale,80.4
FSU,perm,comm,p2,2100,shape,2.5
FSU,perm,comm,p3,2020,scale,53.6
FSU,perm,comm,p3,2020,shape,2.5
FSU,perm,comm,p3,2025,scale,53.6
FSU,perm,comm,p3,2025,shape,2.5
FSU,perm,comm,p3,2030,scale,58.96000000000001
FSU,perm,comm,p3,2030,shape,2.5
FSU,perm,comm,p3,2035,scale,64.32
FSU,perm,comm,p3,2035,shape,2.5
FSU,perm,comm,p3,2040,scale,69.68
FSU,perm,comm,p3,2040,shape,2.5
FSU,perm,comm,p3,2045,scale,75.03999999999999
FSU,perm,comm,p3,2045,shape,2.5
FSU,perm,comm,p3,2050,scale,80.4
FSU,perm,comm,p3,2050,shape,2.5
FSU,perm,comm,p3,2055,scale,80.4
FSU,perm,comm,p3,2055,shape,2.5
FSU,perm,comm,p3,2060,scale,80.4
FSU,perm,comm,p3,2060,shape,2.5
FSU,perm,comm,p3,2065,scale,80.4
FSU,perm,comm,p3,2065,shape,2.5
FSU,perm,comm,p3,2070,scale,80.4
FSU,perm,comm,p3,2070,shape,2.5
FSU,perm,comm,p3,2075,scale,80.4
FSU,perm,comm,p3,2075,shape,2.5
FSU,perm,comm,p3,2080,scale,80.4
FSU,perm,comm,p3,2080,shape,2.5
FSU,perm,comm,p3,2085,scale,80.4
FSU,perm,comm,p3,2085,shape,2.5
FSU,perm,comm,p3,2090,scale,80.4
FSU,perm,comm,p3,2090,shape,2.5
FSU,perm,comm,p3,2095,scale,80.4
FSU,perm,comm,p3,2095,shape,2.5
FSU,perm,comm,p3,2100,scale,80.4
FSU,perm,comm,p3,2100,shape,2.5
FSU,perm,comm,p5,2020,scale,53.6
FSU,perm,comm,p5,2020,shape,2.5
FSU,perm,comm,p5,2025,scale,53.6
FSU,perm,comm,p5,2025,shape,2.5
FSU,perm,comm,p5,2030,scale,63.248
FSU,perm,comm,p5,2030,shape,2.5
FSU,perm,comm,p5,2035,scale,72.896
FSU,perm,comm,p5,2035,shape,2.5
FSU,perm,comm,p5,2040,scale,82.54400000000001
FSU,perm,comm,p5,2040,shape,2.5
FSU,perm,comm,p5,2045,scale,92.19200000000001
FSU,perm,comm,p5,2045,shape,2.5
FSU,perm,comm,p5,2050,scale,101.84
FSU,perm,comm,p5,2050,shape,2.5
FSU,perm,comm,p5,2055,scale,101.84
FSU,perm,comm,p5,2055,shape,2.5
FSU,perm,comm,p5,2060,scale,101.84
FSU,perm,comm,p5,2060,shape,2.5
FSU,perm,comm,p5,2065,scale,101.84
FSU,perm,comm,p5,2065,shape,2.5
FSU,perm,comm,p5,2070,scale,101.84
FSU,perm,comm,p5,2070,shape,2.5
FSU,perm,comm,p5,2075,scale,101.84
FSU,perm,comm,p5,2075,shape,2.5
FSU,perm,comm,p5,2080,scale,101.84
FSU,perm,comm,p5,2080,shape,2.5
FSU,perm,comm,p5,2085,scale,101.84
FSU,perm,comm,p5,2085,shape,2.5
FSU,perm,comm,p5,2090,scale,101.84
FSU,perm,comm,p5,2090,shape,2.5
FSU,perm,comm,p5,2095,scale,101.84
FSU,perm,comm,p5,2095,shape,2.5
FSU,perm,comm,p5,2100,scale,101.84
FSU,perm,comm,p5,2100,shape,2.5
LAC,perm,comm,p1,2020,scale,68.24
LAC,perm,comm,p1,2020,shape,1.97
LAC,perm,comm,p1,2025,scale,68.24
LAC,perm,comm,p1,2025,shape,1.97
LAC,perm,comm,p1,2030,scale,73.1142857142857
LAC,perm,comm,p1,2030,shape,1.97
LAC,perm,comm,p1,2035,scale,77.98857142857142
LAC,perm,comm,p1,2035,shape,1.97
LAC,perm,comm,p1,2040,scale,82.86285714285712
LAC,perm,comm,p1,2040,shape,1.97
LAC,perm,comm,p1,2045,scale,87.73714285714284
LAC,perm,comm,p1,2045,shape,1.97
LAC,perm,comm,p1,2050,scale,92.61142857142858
LAC,perm,comm,p1,2050,shape,1.97
LAC,perm,comm,p1,2055,scale,97.48571428571428
LAC,perm,comm,p1,2055,shape,1.97
LAC,perm,comm,p1,2060,scale,102.35999999999999
LAC,perm,comm,p1,2060,shape,1.97
LAC,perm,comm,p1,2065,scale,102.35999999999999
LAC,perm,comm,p1,2065,shape,1.97
LAC,perm,comm,p1,2070,scale,102.35999999999999
LAC,perm,comm,p1,2070,shape,1.97
LAC,perm,comm,p1,2075,scale,102.35999999999999
LAC,perm,comm,p1,2075,shape,1.97
LAC,perm,comm,p1,2080,scale,102.35999999999999
LAC,perm,comm,p1,2080,shape,1.97
LAC,perm,comm,p1,2085,scale,102.35999999999999
LAC,perm,comm,p1,2085,shape,1.97
LAC,perm,comm,p1,2090,scale,102.35999999999999
LAC,perm,comm,p1,2090,shape,1.97
LAC,perm,comm,p1,2095,scale,102.35999999999999
LAC,perm,comm,p1,2095,shape,1.97
LAC,perm,comm,p1,2100,scale,102.35999999999999
LAC,perm,comm,p1,2100,shape,1.97
LAC,perm,comm,p2,2020,scale,68.24
LAC,perm,comm,p2,2020,shape,1.97
LAC,perm,comm,p2,2025,scale,68.24
LAC,perm,comm,p2,2025,shape,1.97
LAC,perm,comm,p2,2030,scale,73.1142857142857
LAC,perm,comm,p2,2030,shape,1.97
LAC,perm,comm,p2,2035,scale,77.98857142857142
LAC,perm,comm,p2,2035,shape,1.97
LAC,perm,comm,p2,2040,scale,82.86285714285712
LAC,perm,comm,p2,2040,shape,1.97
LAC,perm,comm,p2,2045,scale,87.73714285714284
LAC,perm,comm,p2,2045,shape,1.97
LAC,perm,comm,p2,2050,scale,92.61142857142858
LAC,perm,comm,p2,2050,shape,1.97
LAC,perm,comm,p2,2055,scale,97.48571428571428
LAC,perm,comm,p2,2055,shape,1.97
LAC,perm,comm,p2,2060,scale,102.35999999999999
LAC,perm,comm,p2,2060,shape,1.97
LAC,perm,comm,p2,2065,scale,102.35999999999999
LAC,perm,comm,p2,2065,shape,1.97
LAC,perm,comm,p2,2070,scale,102.35999999999999
LAC,perm,comm,p2,2070,shape,1.97
LAC,perm,comm,p2,2075,scale,102.35999999999999
