region_gea,fuel,year,value
PAO,gas,2100,56.1
PAO,oil,2015,73.3
PAO,oil,2020,73.3
PAO,oil,2025,73.3
PAO,oil,2030,73.3
PAO,oil,2035,73.3
PAO,oil,2040,73.3
PAO,oil,2045,73.3
PAO,oil,2050,73.3
PAO,oil,2055,73.3
PAO,oil,2060,73.3
PAO,oil,2070,73.3
PAO,oil,2080,73.3
PAO,oil,2090,73.3
PAO,oil,2100,73.3
PAS,biomass_solid,2015,0
PAS,biomass_solid,2020,0
PAS,biomass_solid,2025,0
PAS,biomass_solid,2030,0
PAS,biomass_solid,2035,0
PAS,biomass_solid,2040,0
PAS,biomass_solid,2045,0
PAS,biomass_solid,2050,0
PAS,biomass_solid,2055,0
PAS,biomass_solid,2060,0
PAS,biomass_solid,2070,0
PAS,biomass_solid,2080,0
PAS,biomass_solid,2090,0
PAS,biomass_solid,2100,0
PAS,coal,2015,94.6
PAS,coal,2020,94.6
PAS,coal,2025,94.6
PAS,coal,2030,94.6
PAS,coal,2035,94.6
PAS,coal,2040,94.6
PAS,coal,2045,94.6
PAS,coal,2050,94.6
PAS,coal,2055,94.6
PAS,coal,2060,94.6
PAS,coal,2070,94.6
PAS,coal,2080,94.6
PAS,coal,2090,94.6
PAS,coal,2100,94.6
PAS,district_heat,2015,35.99024822
PAS,district_heat,2020,26.76702086
PAS,district_heat,2025,22.61454707
PAS,district_heat,2030,17.62285687
PAS,district_heat,2035,16.11868688
PAS,district_heat,2040,13.87787826
PAS,district_heat,2045,15.69911412
PAS,district_heat,2050,13.3714973
PAS,district_heat,2055,11.66767758
PAS,district_heat,2060,10.26716591
PAS,district_heat,2070,7.828254369
PAS,district_heat,2080,7.486579873
PAS,district_heat,2090,7.512736261
PAS,district_heat,2100,8.666871707
PAS,electricity,2015,156.2223317
PAS,electricity,2020,150.33456
PAS,electricity,2025,146.2683739
PAS,electricity,2030,141.2771747
PAS,electricity,2035,133.7543094
PAS,electricity,2040,126.3973386
PAS,electricity,2045,117.4526778
PAS,electricity,2050,111.8958401
PAS,electricity,2055,110.5847628
PAS,electricity,2060,106.0186741
PAS,electricity,2070,87.07915968
PAS,electricity,2080,94.17515488
PAS,electricity,2090,101.6110496
PAS,electricity,2100,104.5110625
PAS,gas,2015,56.1
PAS,gas,2020,56.1
PAS,gas,2025,56.1
PAS,gas,2030,56.1
PAS,gas,2035,56.1
PAS,gas,2040,56.1
PAS,gas,2045,56.1
PAS,gas,2050,56.1
PAS,gas,2055,56.1
PAS,gas,2060,56.1
PAS,gas,2070,56.1
PAS,gas,2080,56.1
PAS,gas,2090,56.1
PAS,gas,2100,56.1
PAS,oil,2015,73.3
PAS,oil,2020,73.3
PAS,oil,2025,73.3
PAS,oil,2030,73.3
PAS,oil,2035,73.3
PAS,oil,2040,73.3
PAS,oil,2045,73.3
PAS,oil,2050,73.3
PAS,oil,2055,73.3
PAS,oil,2060,73.3
PAS,oil,2070,73.3
PAS,oil,2080,73.3
PAS,oil,2090,73.3
PAS,oil,2100,73.3
SAS,biomass_solid,2015,0
SAS,biomass_solid,2020,0
SAS,biomass_solid,2025,0
SAS,biomass_solid,2030,0
SAS,biomass_solid,2035,0
SAS,biomass_solid,2040,0
SAS,biomass_solid,2045,0
SAS,biomass_solid,2050,0
SAS,biomass_solid,2055,0
SAS,biomass_solid,2060,0
SAS,biomass_solid,2070,0
SAS,biomass_solid,2080,0
SAS,biomass_solid,2090,0
SAS,biomass_solid,2100,0
SAS,coal,2015,94.6
SAS,coal,2020,94.6
SAS,coal,2025,94.6
SAS,coal,2030,94.6
SAS,coal,2035,94.6
SAS,coal,2040,94.6
SAS,coal,2045,94.6
SAS,coal,2050,94.6
SAS,coal,2055,94.6
SAS,coal,2060,94.6
SAS,coal,2070,94.6
SAS,coal,2080,94.6
SAS,coal,2090,94.6
SAS,coal,2100,94.6
SAS,district_heat,2015,0
SAS,district_heat,2020,36.55185093
SAS,district_heat,2025,53.02002067
SAS,district_heat,2030,58.51852283
SAS,district_heat,2035,63.31988968
SAS,district_heat,2040,62.46847099
SAS,district_heat,2045,62.54906203
SAS,district_heat,2050,61.0126177
SAS,district_heat,2055,58.83838261
SAS,district_heat,2060,56.08266888
SAS,district_heat,2070,36.15214106
SAS,district_heat,2080,27.18249039
SAS,district_heat,2090,28.0298161
SAS,district_heat,2100,28.29709965
SAS,electricity,2015,249.6463623
SAS,electricity,2020,218.0777178
SAS,electricity,2025,161.8088578
SAS,electricity,2030,157.7886702
SAS,electricity,2035,148.2853632
SAS,electricity,2040,138.095931
SAS,electricity,2045,106.7430502
SAS,electricity,2050,102.6448763
SAS,electricity,2055,106.1613967
SAS,electricity,2060,115.2258149
SAS,electricity,2070,88.2947366
SAS,electricity,2080,80.0536786
SAS,electricity,2090,54.36841822
SAS,electricity,2100,47.08142014
SAS,gas,2015,56.1
SAS,gas,2020,56.1
SAS,gas,2025,56.1
SAS,gas,2030,56.1
SAS,gas,2035,56.1
SAS,gas,2040,56.1
SAS,gas,2045,56.1
SAS,gas,2050,56.1
SAS,gas,2055,56.1
SAS,gas,2060,56.1
SAS,gas,2070,56.1
SAS,gas,2080,56.1
SAS,gas,2090,56.1
SAS,gas,2100,56.1
SAS,oil,2015,73.3
SAS,oil,2020,73.3
SAS,oil,2025,73.3
SAS,oil,2030,73.3
SAS,oil,2035,73.3
SAS,oil,2040,73.3
SAS,oil,2045,73.3
SAS,oil,2050,73.3
SAS,oil,2055,73.3
SAS,oil,2060,73.3
SAS,oil,2070,73.3
SAS,oil,2080,73.3
SAS,oil,2090,73.3
SAS,oil,2100,73.3
WEU,biomass_solid,2015,0
WEU,biomass_solid,2020,0
WEU,biomass_solid,2025,0
WEU,biomass_solid,2030,0
WEU,biomass_solid,2035,0
WEU,biomass_solid,2040,0
WEU,biomass_solid,2045,0
WEU,biomass_solid,2050,0
WEU,biomass_solid,2055,0
WEU,biomass_solid,2060,0
WEU,biomass_solid,2070,0
WEU,biomass_solid,2080,0
WEU,biomass_solid,2090,0
WEU,biomass_solid,2100,0
WEU,coal,2015,94.6
WEU,coal,2020,94.6
WEU,coal,2025,94.6
WEU,coal,2030,94.6
WEU,coal,2035,94.6
WEU,coal,2040,94.6
WEU,coal,2045,94.6
WEU,coal,2050,94.6
WEU,coal,2055,94.6
WEU,coal,2060,94.6
WEU,coal,2070,94.6
WEU,coal,2080,94.6
WEU,coal,2090,94.6
WEU,coal,2100,94.6
WEU,district_heat,2015,49.95700515
WEU,district_heat,2020,12.39672575
WEU,district_heat,2025,17.52885461
WEU,district_heat,2030,9.62782784
WEU,district_heat,2035,0.87409241
WEU,district_heat,2040,0.615510887
WEU,district_heat,2045,1.886500798
