"region","fuel","year","emission_factor"
"C-WEU-DNK","gas",2020,56.1
"C-WEU-DNK","electricity",2020,48.3773877791613
"C-WEU-DNK","gas",2025,56.1
"C-WEU-DNK","electricity",2025,48.2197646366903
"C-WEU-DNK","gas",2030,56.1
"C-WEU-DNK","electricity",2030,36.2683422640282
"C-WEU-DNK","gas",2035,56.1
"C-WEU-DNK","electricity",2035,9.45398399054671
"C-WEU-DNK","gas",2040,56.1
"C-WEU-DNK","electricity",2040,7.96224250479152
"C-WEU-DNK","gas",2045,56.1
"C-WEU-DNK","electricity",2045,8.40135781058664
"C-WEU-DNK","gas",2050,56.1
"C-WEU-DNK","electricity",2050,8.29693543055169
"C-WEU-DNK","gas",2055,56.1
"C-WEU-DNK","electricity",2055,0.196701200524851
"C-WEU-DNK","gas",2060,56.1
