"","type","MESSAGE_R12","year","scenario","emission_factor","unit"
"179","primary_aluminium","SAS",2060,"image_ssp2_rcp19",6.78869663861737,"kgco2e/kg"
"180","primary_aluminium","SAS",2070,"image_ssp2_base",11.626246883642,"kgco2e/kg"
"181","primary_aluminium","SAS",2070,"image_ssp2_rcp19",6.70425093910982,"kgco2e/kg"
"182","primary_aluminium","SAS",2080,"image_ssp2_base",11.2203701639442,"kgco2e/kg"
"183","primary_aluminium","SAS",2080,"image_ssp2_rcp19",6.68081731471566,"kgco2e/kg"
"184","primary_aluminium","SAS",2090,"image_ssp2_base",10.8206822897633,"kgco2e/kg"
"185","primary_aluminium","SAS",2090,"image_ssp2_rcp19",6.59250352289064,"kgco2e/kg"
"186","primary_aluminium","SAS",2100,"image_ssp2_base",10.6050333265886,"kgco2e/kg"
"187","primary_aluminium","SAS",2100,"image_ssp2_rcp19",6.54924703136514,"kgco2e/kg"
"188","primary_aluminium","WEU",2020,"image_ssp2_base",14.5075193220672,"kgco2e/kg"
"189","primary_aluminium","WEU",2030,"image_ssp2_base",14.2596740244073,"kgco2e/kg"
"190","primary_aluminium","WEU",2030,"image_ssp2_rcp19",9.0009084096818,"kgco2e/kg"
"191","primary_aluminium","WEU",2040,"image_ssp2_base",14.1431842283059,"kgco2e/kg"
"192","primary_aluminium","WEU",2040,"image_ssp2_rcp19",7.18699829169004,"kgco2e/kg"
"193","primary_aluminium","WEU",2050,"image_ssp2_base",13.7128182589558,"kgco2e/kg"
"194","primary_aluminium","WEU",2050,"image_ssp2_rcp19",6.84859989981724,"kgco2e/kg"
"195","primary_aluminium","WEU",2060,"image_ssp2_base",12.2380939921977,"kgco2e/kg"
"196","primary_aluminium","WEU",2060,"image_ssp2_rcp19",6.78869663861737,"kgco2e/kg"
"197","primary_aluminium","WEU",2070,"image_ssp2_base",11.626246883642,"kgco2e/kg"
"198","primary_aluminium","WEU",2070,"image_ssp2_rcp19",6.70425093910982,"kgco2e/kg"
"199","primary_aluminium","WEU",2080,"image_ssp2_base",11.2203701639442,"kgco2e/kg"
"200","primary_aluminium","WEU",2080,"image_ssp2_rcp19",6.68081731471566,"kgco2e/kg"
"201","primary_aluminium","WEU",2090,"image_ssp2_base",10.8206822897633,"kgco2e/kg"
"202","primary_aluminium","WEU",2090,"image_ssp2_rcp19",6.59250352289064,"kgco2e/kg"
"203","primary_aluminium","WEU",2100,"image_ssp2_base",10.6050333265886,"kgco2e/kg"
"204","primary_aluminium","WEU",2100,"image_ssp2_rcp19",6.54924703136514,"kgco2e/kg"
"205","primary_brick","AFR",2020,"image_ssp2_base",0.255354211059323,"kgco2e/kg"
"206","primary_brick","AFR",2030,"image_ssp2_base",0.253436368881112,"kgco2e/kg"
"207","primary_brick","AFR",2030,"image_ssp2_rcp19",0.233040632161683,"kgco2e/kg"
"208","primary_brick","AFR",2040,"image_ssp2_base",0.252067883933655,"kgco2e/kg"
"209","primary_brick","AFR",2040,"image_ssp2_rcp19",0.224760200955597,"kgco2e/kg"
"210","primary_brick","AFR",2050,"image_ssp2_base",0.249216103092977,"kgco2e/kg"
"211","primary_brick","AFR",2050,"image_ssp2_rcp19",0.221729875025139,"kgco2e/kg"
"212","primary_brick","AFR",2060,"image_ssp2_base",0.242895938067345,"kgco2e/kg"
"213","primary_brick","AFR",2060,"image_ssp2_rcp19",0.220215127633579,"kgco2e/kg"
"214","primary_brick","AFR",2070,"image_ssp2_base",0.239871420112532,"kgco2e/kg"
"215","primary_brick","AFR",2070,"image_ssp2_rcp19",0.219133406060057,"kgco2e/kg"
"216","primary_brick","AFR",2080,"image_ssp2_base",0.23864220810427,"kgco2e/kg"
"217","primary_brick","AFR",2080,"image_ssp2_rcp19",0.218868300578341,"kgco2e/kg"
"218","primary_brick","AFR",2090,"image_ssp2_base",0.236807361914845,"kgco2e/kg"
"219","primary_brick","AFR",2090,"image_ssp2_rcp19",0.218697755878831,"kgco2e/kg"
"220","primary_brick","AFR",2100,"image_ssp2_base",0.234254489674243,"kgco2e/kg"
"221","primary_brick","AFR",2100,"image_ssp2_rcp19",0.218940619582365,"kgco2e/kg"
"222","primary_brick","CHN",2020,"image_ssp2_base",0.255354211059323,"kgco2e/kg"
"223","primary_brick","CHN",2030,"image_ssp2_base",0.253436368881112,"kgco2e/kg"
"224","primary_brick","CHN",2030,"image_ssp2_rcp19",0.233040632161683,"kgco2e/kg"
"225","primary_brick","CHN",2040,"image_ssp2_base",0.252067883933655,"kgco2e/kg"
"226","primary_brick","CHN",2040,"image_ssp2_rcp19",0.224760200955597,"kgco2e/kg"
"227","primary_brick","CHN",2050,"image_ssp2_base",0.249216103092977,"kgco2e/kg"
"228","primary_brick","CHN",2050,"image_ssp2_rcp19",0.221729875025139,"kgco2e/kg"
"229","primary_brick","CHN",2060,"image_ssp2_base",0.242895938067345,"kgco2e/kg"
"230","primary_brick","CHN",2060,"image_ssp2_rcp19",0.220215127633579,"kgco2e/kg"
"231","primary_brick","CHN",2070,"image_ssp2_base",0.239871420112532,"kgco2e/kg"
"232","primary_brick","CHN",2070,"image_ssp2_rcp19",0.219133406060057,"kgco2e/kg"
"233","primary_brick","CHN",2080,"image_ssp2_base",0.23864220810427,"kgco2e/kg"
"234","primary_brick","CHN",2080,"image_ssp2_rcp19",0.218868300578341,"kgco2e/kg"
"235","primary_brick","CHN",2090,"image_ssp2_base",0.236807361914845,"kgco2e/kg"
"236","primary_brick","CHN",2090,"image_ssp2_rcp19",0.218697755878831,"kgco2e/kg"
"237","primary_brick","CHN",2100,"image_ssp2_base",0.234254489674243,"kgco2e/kg"
"238","primary_brick","CHN",2100,"image_ssp2_rcp19",0.218940619582365,"kgco2e/kg"
"239","primary_brick","EEU",2020,"image_ssp2_base",0.255354211059323,"kgco2e/kg"
"240","primary_brick","EEU",2030,"image_ssp2_base",0.253436368881112,"kgco2e/kg"
"241","primary_brick","EEU",2030,"image_ssp2_rcp19",0.233040632161683,"kgco2e/kg"
"242","primary_brick","EEU",2040,"image_ssp2_base",0.252067883933655,"kgco2e/kg"
"243","primary_brick","EEU",2040,"image_ssp2_rcp19",0.224760200955597,"kgco2e/kg"
"244","primary_brick","EEU",2050,"image_ssp2_base",0.249216103092977,"kgco2e/kg"
"245","primary_brick","EEU",2050,"image_ssp2_rcp19",0.221729875025139,"kgco2e/kg"
"246","primary_brick","EEU",2060,"image_ssp2_base",0.242895938067345,"kgco2e/kg"
"247","primary_brick","EEU",2060,"image_ssp2_rcp19",0.220215127633579,"kgco2e/kg"
"248","primary_brick","EEU",2070,"image_ssp2_base",0.239871420112532,"kgco2e/kg"
"249","primary_brick","EEU",2070,"image_ssp2_rcp19",0.219133406060057,"kgco2e/kg"
"250","primary_brick","EEU",2080,"image_ssp2_base",0.23864220810427,"kgco2e/kg"
"251","primary_brick","EEU",2080,"image_ssp2_rcp19",0.218868300578341,"kgco2e/kg"
"252","primary_brick","EEU",2090,"image_ssp2_base",0.236807361914845,"kgco2e/kg"
"253","primary_brick","EEU",2090,"image_ssp2_rcp19",0.218697755878831,"kgco2e/kg"
"254","primary_brick","EEU",2100,"image_ssp2_base",0.234254489674243,"kgco2e/kg"
